x,Triangle,Trapezoidal,Gaussian
1.045994,0.954006,1.000000,0.983219
1.047994,0.952006,1.000000,0.981742
1.049994,0.950006,1.000000,0.980204
1.051994,0.948006,1.000000,0.978606
1.053994,0.946006,1.000000,0.976947
1.055994,0.944006,1.000000,0.975230
1.057994,0.942006,1.000000,0.973453
1.059994,0.940006,1.000000,0.971617
1.061993,0.938007,1.000000,0.969722
1.063993,0.936007,1.000000,0.967770
1.065993,0.934007,1.000000,0.965759
1.067993,0.932007,1.000000,0.963691
1.069993,0.930007,1.000000,0.961565
1.071993,0.928007,1.000000,0.959384
1.073993,0.926007,1.000000,0.957145
1.075993,0.924007,1.000000,0.954851
1.077993,0.922007,1.000000,0.952501
1.079993,0.920007,1.000000,0.950097
1.081993,0.918007,1.000000,0.947638
1.083993,0.916007,1.000000,0.945124
1.085993,0.914007,1.000000,0.942557
1.087993,0.912007,1.000000,0.939937
1.089993,0.910007,1.000000,0.937264
1.091993,0.908007,1.000000,0.934539
1.093993,0.906007,1.000000,0.931762
1.095993,0.904007,1.000000,0.928934
1.097993,0.902007,1.000000,0.926056
1.099993,0.900007,1.000000,0.923127
1.101993,0.898007,1.000000,0.920148
1.103993,0.896007,1.000000,0.917121
1.105993,0.894007,1.000000,0.914045
1.107993,0.892007,1.000000,0.910920
1.109993,0.890007,1.000000,0.907749
1.111993,0.888007,1.000000,0.904531
1.113993,0.886007,1.000000,0.901266
1.115993,0.884007,1.000000,0.897956
1.117993,0.882007,1.000000,0.894600
1.119993,0.880007,1.000000,0.891200
1.121993,0.878007,1.000000,0.887757
1.123993,0.876007,1.000000,0.884269
1.125993,0.874007,1.000000,0.880740
1.127993,0.872007,1.000000,0.877168
1.129993,0.870007,1.000000,0.873555
1.131993,0.868007,1.000000,0.869901
1.133993,0.866007,1.000000,0.866206
1.135993,0.864007,1.000000,0.862473
1.137993,0.862007,1.000000,0.858700
1.139992,0.860008,1.000000,0.854889
1.141992,0.858008,1.000000,0.851041
1.143992,0.856008,1.000000,0.847156
1.145992,0.854008,1.000000,0.843234
1.147992,0.852008,1.000000,0.839277
1.149992,0.850008,1.000000,0.835286
1.151992,0.848008,1.000000,0.831259
1.153992,0.846008,1.000000,0.827200
1.155992,0.844008,1.000000,0.823107
1.157992,0.842008,1.000000,0.818983
1.159992,0.840008,1.000000,0.814826
1.161992,0.838008,1.000000,0.810640
1.163992,0.836008,1.000000,0.806423
1.165992,0.834008,1.000000,0.802176
1.167992,0.832008,1.000000,0.797901
1.169992,0.830008,1.000000,0.793598
1.171992,0.828008,1.000000,0.789267
1.173992,0.826008,1.000000,0.784910
1.175992,0.824008,1.000000,0.780527
1.177992,0.822008,1.000000,0.776119
1.179992,0.820008,1.000000,0.771687
1.181992,0.818008,1.000000,0.767230
1.183992,0.816008,1.000000,0.762751
1.185992,0.814008,1.000000,0.758249
1.187992,0.812008,1.000000,0.753725
1.189992,0.810008,1.000000,0.749181
1.191992,0.808008,1.000000,0.744616
1.193992,0.806008,1.000000,0.740032
1.195992,0.804008,1.000000,0.735428
